ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-11-18,632.3645844069069,581.5837146756377,666.8395473589622,632.3645844069069,632.3645844069069,-9.221470808295363,-9.221470808295363,-9.221470808295363,-9.221470808295363,-9.221470808295363,-9.221470808295363,0.0,0.0,0.0,623.1431135986115
2019-11-19,635.0136845270271,580.6467021396413,667.7185394195885,635.0136845270271,635.0136845270271,-10.17517744402986,-10.17517744402986,-10.17517744402986,-10.17517744402986,-10.17517744402986,-10.17517744402986,0.0,0.0,0.0,624.8385070829972
2019-11-20,637.6627846471472,586.9197851655517,672.8045438436963,637.6627846471472,637.6627846471472,-9.413089131732747,-9.413089131732747,-9.413089131732747,-9.413089131732747,-9.413089131732747,-9.413089131732747,0.0,0.0,0.0,628.2496955154145
2019-11-21,640.3118847672672,589.8889725438828,675.0498679516985,640.3118847672672,640.3118847672672,-9.276227400138831,-9.276227400138831,-9.276227400138831,-9.276227400138831,-9.276227400138831,-9.276227400138831,0.0,0.0,0.0,631.0356573671284
2019-11-22,642.9609848873874,593.0912455394105,676.4510112689441,642.9609848873874,642.9609848873874,-9.394098930822672,-9.394098930822672,-9.394098930822672,-9.394098930822672,-9.394098930822672,-9.394098930822672,0.0,0.0,0.0,633.5668859565648
2019-11-25,650.9082852477477,594.3904513276024,682.898970722452,650.9082852477477,650.9082852477477,-9.221470808273207,-9.221470808273207,-9.221470808273207,-9.221470808273207,-9.221470808273207,-9.221470808273207,0.0,0.0,0.0,641.6868144394745
2019-11-26,653.5573853678678,599.9785615060055,688.319139340886,653.5573853678678,653.5573853678678,-10.175177444047877,-10.175177444047877,-10.175177444047877,-10.175177444047877,-10.175177444047877,-10.175177444047877,0.0,0.0,0.0,643.3822079238199
2019-11-27,656.206485487988,601.4596703454544,690.7204731701048,656.206485487988,656.206485487988,-9.4130891318011,-9.4130891318011,-9.4130891318011,-9.4130891318011,-9.4130891318011,-9.4130891318011,0.0,0.0,0.0,646.7933963561868
2019-11-28,658.8555856081082,609.1441358205981,692.2926927569794,658.8555856081082,658.8555856081082,-9.276227400069487,-9.276227400069487,-9.276227400069487,-9.276227400069487,-9.276227400069487,-9.276227400069487,0.0,0.0,0.0,649.5793582080387
2019-11-29,661.5046857282282,608.8677162897368,698.6071147307458,661.5046857282282,661.5046857282282,-9.394098930798075,-9.394098930798075,-9.394098930798075,-9.394098930798075,-9.394098930798075,-9.394098930798075,0.0,0.0,0.0,652.1105867974301
